t,x1,y1,z1,x2,y2,z2,x3,y3,z3
0.000000,0.000000000000000,0.000000000000000,0.000000000000000,149600000000.000000000000000,0.000000000000000,0.000000000000000,227900000000.000000000000000,0.000000000000000,0.000000000000000
0.100000,0.000000000102490,0.000000000000000,0.000000000000000,149600000000.000000000000000,2978.000000000000455,0.000000000000000,227900000000.000000000000000,2407.700000000000273,0.000000000000000
0.200000,0.000000000391325,0.000000000000000,0.000000000000000,149600000000.000000000000000,5956.000000000001819,0.000000000000000,227900000000.000000000000000,4815.400000000001455,0.000000000000000
0.300000,0.000000000866506,0.000000000000000,0.000000000000000,149599999999.999847412109375,8933.999999999996362,0.000000000000000,227900000000.000000000000000,7223.100000000005821,0.000000000000000
0.400000,0.000000001528033,0.000000000000000,0.000000000000000,149599999999.999542236328125,11911.999999999989086,0.000000000000000,227900000000.000000000000000,9630.800000000010186,0.000000000000000
0.500000,0.000000002375905,0.000000000000000,0.000000000000000,149599999999.999237060546875,14889.999999999981810,0.000000000000000,227900000000.000000000000000,12038.500000000014552,0.000000000000000
0.600000,0.000000003410122,0.000000000000000,0.000000000000000,149599999999.998931884765625,17867.999999999970896,0.000000000000000,227899999999.999969482421875,14446.200000000018917,0.000000000000000
0.700000,0.000000004630685,0.000000000000000,0.000000000000000,149599999999.998626708984375,20845.999999999949068,0.000000000000000,227899999999.999664306640625,16853.900000000023283,0.000000000000000
0.800000,0.000000006037593,0.000000000000000,0.000000000000000,149599999999.998229980468750,23823.999999999905413,0.000000000000000,227899999999.999359130859375,19261.600000000027649,0.000000000000000
0.900000,0.000000007630847,0.000000000000000,0.000000000000000,149599999999.997619628906250,26801.999999999861757,0.000000000000000,227899999999.999053955078125,21669.300000000032014,0.000000000000000
1.000000,0.000000009410446,0.000000000000001,0.000000000000000,149599999999.997009277343750,29779.999999999818101,0.000000000000000,227899999999.998748779296875,24077.000000000036380,0.000000000000000
1.100000,0.000000011376390,0.000000000000001,0.000000000000000,149599999999.996398925781250,32757.999999999748979,0.000000000000000,227899999999.998443603515625,26484.700000000026193,0.000000000000000
1.200000,0.000000013528680,0.000000000000001,0.000000000000000,149599999999.995788574218750,35735.999999999679858,0.000000000000000,227899999999.998138427734375,28892.399999999994179,0.000000000000000
1.300000,0.000000015867316,0.000000000000001,0.000000000000000,149599999999.995117187500000,38713.999999999563443,0.000000000000000,227899999999.997833251953125,31300.099999999962165,0.000000000000000
1.400000,0.000000018392297,0.000000000000002,0.000000000000000,149599999999.994201660156250,41691.999999999447027,0.000000000000000,227899999999.997528076171875,33707.799999999930151,0.000000000000000
1.500000,0.000000021103623,0.000000000000002,0.000000000000000,149599999999.993286132812500,44669.999999999330612,0.000000000000000,227899999999.997222900390625,36115.499999999898137,0.000000000000000
1.600000,0.000000024001295,0.000000000000002,0.000000000000000,149599999999.992370605468750,47647.999999999214197,0.000000000000000,227899999999.996917724609375,38523.199999999866122,0.000000000000000
1.700000,0.000000027085313,0.000000000000003,0.000000000000000,149599999999.991455078125000,50625.999999999032298,0.000000000000000,227899999999.996612548828125,40930.899999999834108,0.000000000000000
1.800000,0.000000030355675,0.000000000000004,0.000000000000000,149599999999.990539550781250,53603.999999998843123,0.000000000000000,227899999999.996276855468750,43338.599999999802094,0.000000000000000
1.900000,0.000000033812384,0.000000000000004,0.000000000000000,149599999999.989318847656250,56581.999999998653948,0.000000000000000,227899999999.995666503906250,45746.299999999770080,0.000000000000000
2.000000,0.000000037455438,0.000000000000005,0.000000000000000,149599999999.988098144531250,59559.999999998435669,0.000000000000000,227899999999.995056152343750,48153.999999999738066,0.000000000000000
